"titulo";"correo_electronico";"codigo_postal";"descripcion";"direccion";"distrito";"facebook";"googleplus";"instagram";"linkedin";"pinterest";"twitter";"youtube";"fax";"horario";"imagen";"kml";"localizacion";"lineas_bus";"materias";"municipio";"observaciones";"pluscode";"provincia";"telefono";"web";"idioma";"preguntas_frecuentes";"etiquetas"
"Casería Cuetu Calter";"casaruralengijon@gmail.com";33314;"<p>Cuetu Calter es una casa rural ubicada en el límite de los concejos de Gijón/Xixón y Villaviciosa y muy próxima a varias playas.  Se encuentra dotada de comodidades y<em> </em>completamente adaptada. Además, es una explotación agrícola y ganadera en la que los huéspedes podrán seguir de cerca las labores del campo mientras descansan en estrecho contacto con la naturaleza.</p>  <p><a class="file file--mime-application-pdf file--application-pdf" data-entity-type="file" data-entity-uuid="bf285b50-324c-4efb-98a2-ea4aa9b33ac2" filename="2024 Cuetu Calter.pdf" href="https://www.gijon.es//sites/default/files/inline-files/2024%20Cuetu%20Calter.pdf" target="_blank" title="Informe Accesibilidad Casería Cuetu Calter "><span class="label_drupal">DESCARGAR INFORME DE ACCESIBILIDAD TUR4ALL</span></a></p>  <p class="small"> </p> ";"Camín del Molín, 26";"Rural";"https://www.facebook.com/cuetucalter/";"";"";"";"";"";"";"";"De 9:00 a 24:00h";"https://www.gijon.es/sites/default/files/2019-05/Corredor-y-horreo-Caseria-Cuetu-Calter-1500x1000.jpg";"";"Lon: -5.5753469467163, Lat: 43.539698188706";"";"Turismo, Alojamiento";"Gijón";"";"GCQF+V6 Periurbano - Rural, Gijón";"Asturias";"638 90 02 82";"https://www.casaruralengijon.com/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Compromiso Biosphere, Gijón accesible, 2 Trisqueles, Casa de Aldea"
"Hotel Begoña Park";"begonapark@hotelesbegona.com";33203;"<p>El Hotel Begoña Park está situado en la mejor zona residencial de Gijón/Xixón, a solo unos metros de la <a href="https://www.gijon.es/es/directorio/playa-de-san-lorenzo" title="Playa San Lorenzo">Playa de San Lorenzo</a> y del <a href="https://www.gijon.es/es/directorio/palacio-de-congresos" title="Palacio de Congresos">Palacio de Congresos</a>. Desde este privilegiado enclave podrás disfrutar de la tranquilidad de un entorno rodeado de zonas verdes, a escasos minutos del centro y del eje comercial de la ciudad.</p> ";"Carretera de la Providencia, 566. ";"Rural";"https://www.facebook.com/HotelBegonaPark/";"";"";"";"";"";"";"";"";"https://www.gijon.es/sites/default/files/2019-07/Habitaci%C3%B3n.jpg";"";"Lon: -5.6387927921601, Lat: 43.545858596845";"Línea 14 Sotiello - Pol. Somonte - Tremañes - Infanzón, Línea 25 Tremañes - Infanzón";"Turismo, Alojamiento";"Gijón";"";"G9W6+8F Gijón";"Asturias";985133909;"https://www.hotelbegonapark.es/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Hotel, 4 Estrellas, Alojamiento, Gijón Convention Bureau, Instalación con sala, Próximo a Centro de Convenciones"
"Hotel B&amp;B Hotel Gijón Centro Begoña";"hotel.gijoncentrobegona@hotelbb.com";33205;"<p>El Hotel B&amp;B Hotel Gijón Centro Begoña se encuentra sito en el Parque de Begoña, en el centro de Gijón/Xixón, en la zona comercial y cultural de la ciudad y a escasa distancia de las estaciones de autobuses y trenes y de la <a href="https://www.gijon.es/es/directorio/playa-de-san-lorenzo" title="Playa San Lorenzo">playa de San Lorenzo</a>. Su excelente ubicación le permitirá olvidarse del coche, ya que podrá desplazarse fácilmente a pie por la zona. También están cerca la zona turística y de la parte antigua de la ciudad, el barrio de <a href="https://www.gijon.es/es/turismo/cimavilla" title="Cimavilla">Cimavilla</a>.</p> ";"Avenida de la Costa, 44. ";"Centro";"";"";"";"";"";"";"";"";"";"https://www.gijon.es/sites/default/files/2019-06/Hotel-Begona-centro.jpg";"";"Lon: -5.6607386263199, Lat: 43.537039390384";"Línea 1 El Cerillero - Hospital de Cabueñes, Línea 15 Nuevos Roces - Hospital de Cabueñes, Línea 16 Estación de Ferrocarril - Vega, Línea 18 Nuevo Gijón - Hospital de Cabueñes, Línea 20 Nuevo Roces - Montevil - Somió (La Pipa)";"Turismo, Alojamiento";"Gijón";"";"G8PQ+RP Gijón";"Asturias";"985 14 72 11";"https://www.hotel-bb.com/es/hotel/gijon-centro-begona";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Hotel, 3 Estrellas, Gijón Convention Bureau, Instalación con sala, Alojamiento"
"Camping Deva - Gijón";"info@campingdeva-gijon.es";33394;"<p>A 3 km del casco urbano, dispone de: zona de acampada, 38 bungalows completamente equipados, 20 cabañas de madera. Es Albergue de Peregrinos con 26 plazas con acceso a las instalaciones del camping. Piscina y restaurante abierto al público.</p>  <p><span class="label_drupal"><a class="file file--mime-application-pdf file--application-pdf" data-entity-type="file" data-entity-uuid="eda95381-0ed8-4df4-9f04-f74061e5443f" filename="2024 Camping Deva.pdf" href="https://www.gijon.es//sites/default/files/inline-files/2024%20Camping%20Deva.pdf" rel="noopener" target="_blank" title="Informe Accesibilidad Tur4All">DESCARGAR INFORME DE ACCESIBILIDAD TUR4ALL</a></span></p>  <div class="caja_azul text-align-center"><img alt="Q Calidad Turística" class="" data-entity-type="file" data-entity-uuid="0c41def8-71b9-462c-99cf-645f325d041e" height="21" id="" src="/sites/default/files/inline-images/Logo-Q-de-calidad_0.png" title="Q Calidad Turística" width="22" /> Calidad Turística</div> ";"Camín de la Pasadiella, 85. Deva. ";"Rural";"https://www.facebook.com/campingdevagijon/";"";"";"";"";"https://twitter.com/campingdevagijn";"";"";"";"https://www.gijon.es/sites/default/files/2019-03/Camping_Deva_2.jpg";"https://aytogijon.toools.es/sites/default/files/2023-12/174_0.kml";"Lon: -5.5985060127564, Lat: 43.514028722274";"Línea 26 Gijón - Deva";"Turismo, Alojamiento";"Gijón";"";"GC72+HH Periurbano - Rural, Gijón";"Asturias";"985 13 38 48";"http://www.campingdeva-gijon.es/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Camping, Alojamiento, 1ª Categoría, Dog friendly, Gijón Convention Bureau, Compromiso Biosphere, Gijón accesible"
" Apartamentos Urban Blue, Blue Hoteles";"apartamentosurbanblue@bluehoteles.es";33201;"<p>Céntrico edificio alberga nuestros modernos estudios y apartamentos de una y dos habitaciones. Capacidad: 4 estudios (2 pax). 8 aptos (2/4 pax). 8 aptos (4/6 pax).</p>  <p>* Recepción en Hotel Marqués, Blue Hoteles.</p> ";"Cabrales, 17. ";"Centro";"https://www.facebook.com/BLUEHOTELS/";"";"";"";"https://www.pinterest.es/bluehoteles/";"https://twitter.com/Bluehoteles";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/APTO%202%20HAB%20SALON%205.JPG";"";"Lon: -5.6603259014078, Lat: 43.540972806964";"Línea 4 El Lauredal - Campus Universitario, Línea 10 Pumarín - Somió/Hospital de Cabueñes, Línea 20 Nuevo Roces - Montevil - Somió (La Pipa), Línea 25 Tremañes - Infanzón";"Turismo, Alojamiento";"Gijón";"";"G8RQ+9V Gijón";"Asturias";"985 09 09 29";"https://www.bluehoteles.es/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Apartamento Turístico, Alojamiento, 2 LLaves"
"Apartamentos Urbanos Moros 41 (2 llaves)";"info@moros41.com";33206;"<p>Estos exclusivos apartamentos en alquiler se encuentran en el centro de Gijón, en el principal eje comercial de la ciudad, y a menos de cinco minutos andando de la <a href="https://www.gijon.es/es/directorio/playa-de-san-lorenzo" title="Playa San Lorenzo">Playa de San Lorenzo</a>. Disponen  de sólo 8 suites / apartamentos lo que permite una atención  personalizada. Todo son ventajas: grandes ventanales, espacios abiertos, decoración actual, cocina, cuna para niños, wifi gratuita… Mimo y cuidado hasta el último detalle para ofrecer un ambiente especial con el objetivo de que la estancia en Gijón –bien sea de descanso o profesional por larga estancia- sea inolvidable. </p>  <p>Capacidad: 8 apartamentos (2/4 pax).</p> ";"Moros, 41. ";"Centro";"";"";"";"";"";"";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/Apartamento1.png";"";"Lon: -5.663085559208, Lat: 43.54049062239";"Línea 1 El Cerillero - Hospital de Cabueñes, Línea 2 El Corte Inglés - Hospital de Cabueñes, Línea 6 El Musel - Pol. Porceyo/Porceyo, Línea 10 Pumarín - Somió/Hospital de Cabueñes, Línea 12 El Cerillero - Contrueces, Línea 16 Estación de Ferrocarril - Vega, Línea 18 Nuevo Gijón - Hospital de Cabueñes, Línea 20 Nuevo Roces - Montevil - Somió (La Pipa), Búho 1 - El Cerilleru - Plaza Humedal, Búho 2 - Nuevo Roces - Plaza Humedal, Búho 3 - Montevil - Plaza Humedal, Búho 4 - Vega - Plaza Humedal";"Turismo, Alojamiento";"Gijón";"";"G8RP+5Q Gijón";"Asturias";"660 51 58 59";"http://www.moros41.com/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Apartamento Turístico, Alojamiento, 2 LLaves"
"Apartamentos Turísticos Ceán Bermúdez (3 llaves)";"info@apartamentosceanbermudez.com";33208;"<p>Es la opción ideal para quienes prefieren disfrutar de una estancia más íntima e independiente al alojamiento en un hotel, tanto para estancias de negocios como para pasar unos días con la familia o amigos.</p>  <p>Disponemos de parking privado, acceso gratuito a Internet mediante Wi-Fi y de un salón de reuniones.</p>  <p>Capacidad:</p>  <ul><li>Estudio 2 pax.</li> 	<li>Estudio 4/5 pax.</li> 	<li>11 apartamentos 2/4 pax.</li> </ul>";"Ceán Bermúdez, 6. ";"Centro";"https://www.facebook.com/apartamentosturisticosceanbermudez/";"";"https://www.instagram.com/ceanbermudez/";"";"";"https://twitter.com/ATCeanBermudez";"";"";"";"https://www.gijon.es/sites/default/files/2019-06/Habitacion%207B%201.jpg";"";"Lon: -5.663458386261, Lat: 43.536226620813";"Línea 1 El Cerillero - Hospital de Cabueñes, Línea 15 Nuevos Roces - Hospital de Cabueñes, Línea 16 Estación de Ferrocarril - Vega, Línea 18 Nuevo Gijón - Hospital de Cabueñes, Línea 20 Nuevo Roces - Montevil - Somió (La Pipa)";"Turismo, Alojamiento";"Gijón";"";"G8PP+FJ Gijón";"Asturias";"648 05 61 84";"https://www.apartamentosceanbermudez.com/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Compromiso Biosphere, Apartamento Turístico, Alojamiento, 3 LLaves"
"Hotel Costa Verde";"reservas@hotelcostaverde.es";33206;"<p>Opción ideal para quienes deseen una estancia tranquila y cercana a todos los puntos de interés de la ciudad. Alojamiento acogedor y funcional completamente equipado.</p>  <p>Además de su teléfono fijo y el correo electrónico, puedes contactar con ellos a través de WhatsApp en el 684 66 27 86. </p> ";"Fundición, 5.";"Centro";"https://www.facebook.com/hcostaverdegijon/";"";"";"";"";"";"";"";"";"https://www.gijon.es/sites/default/files/2019-06/3.jpeg";"";"Lon: -5.6653681190796, Lat: 43.53952429734";"Línea 1 El Cerillero - Hospital de Cabueñes, Línea 6 El Musel - Pol. Porceyo/Porceyo, Línea 10 Pumarín - Somió/Hospital de Cabueñes, Línea 12 El Cerillero - Contrueces, Línea 15 Nuevos Roces - Hospital de Cabueñes, Línea 16 Estación de Ferrocarril - Vega, Línea 18 Nuevo Gijón - Hospital de Cabueñes, Línea 21 Hospital de Jove - La Campa Torres, Línea 24 San Andrés/Montena - La Pedrera/Marea, Línea 34 Plaza Humedal - Fátima - Musel (Nocturno), Búho 1 - El Cerilleru - Plaza Humedal, Búho 2 - Nuevo Roces - Plaza Humedal, Búho 3 - Montevil - Plaza Humedal, Búho 4 - Vega - Plaza Humedal";"Turismo, Alojamiento";"Gijón";"";"G8QM+QV Gijón";"Asturias";"985 35 42 40 ";"http://www.hotelcostaverde.es/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Compromiso Biosphere, Gijón card. Tarjeta turística, Descuento Gijón, Alojamiento, Hotel, 1 Estrella"
"Hotel Avenida";"info@hotelavenida.org"; 3207;"<p>Hotel acogedor y familiar situado en el centro de Gijón/Xixón, cercano a las estaciones de tren y bus, próximo al eje comercial de la ciudad y a la <a href="https://www.gijon.es/es/directorio/playa-de-poniente-o-de-pando" title="Playa Poniente">playa de Poniente</a>. Dispone de 38 habitaciones cómodas, cálidas y equipadas.</p> ";"Robustiana Armiño, 4.";"Centro";"https://www.facebook.com/hotelavenida.org/";"";"";"";"";"";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/Doble%202%20camas_mejora.jpg";"";"Lon: -5.6687477024384, Lat: 43.540072596352";"Línea 1 El Cerillero - Hospital de Cabueñes, Línea 6 El Musel - Pol. Porceyo/Porceyo, Línea 10 Pumarín - Somió/Hospital de Cabueñes, Línea 12 El Cerillero - Contrueces, Línea 15 Nuevos Roces - Hospital de Cabueñes, Línea 16 Estación de Ferrocarril - Vega, Línea 18 Nuevo Gijón - Hospital de Cabueñes, Búho 1 - El Cerilleru - Plaza Humedal, Búho 2 - Nuevo Roces - Plaza Humedal, Búho 3 - Montevil - Plaza Humedal, Búho 4 - Vega - Plaza Humedal";"Turismo, Alojamiento";"Gijón";"";"G8RJ+2F Gijón";"Asturias";"985 35 28 43";"http://hotelavenida.org/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Hotel, Alojamiento, 1 Estrella"
"Hotel San Miguel";"hsmiguel@hsanmiguel.com";33202;"<p>En pleno centro de Gijón y junto a la <a href="https://www.gijon.es/es/directorio/playa-de-san-lorenzo" title="Playa San Lorenzo">Playa de San Lorenzo</a>. 43 cálidas habitaciones, una de ellas familiar. Bicis, skate, longboard, desayuno picnic y wifi gratuitos. Parking concertado. Miembro de Peregrinos por el Norte.</p>  <p>WhatsApp: +34 682 74 79 55.</p> ";"Marqués de Casa Valdés, 8";"Centro";"https://www.facebook.com/HotelSanMiguelGijon";"";"https://www.instagram.com/hotelsanmiguelgijon/";"";"https://www.pinterest.es/hotelsanmiguel/";"https://twitter.com/hsanmiguelgijon";"https://www.youtube.com/user/hotelsanmiguelgijon";"";"";"https://www.gijon.es/sites/default/files/2019-05/buhardilla-hotel-san-miguel-gijon.jpg";"";"Lon: -5.6573644073792, Lat: 43.540414794626";"Línea 4 El Lauredal - Campus Universitario, Línea 10 Pumarín - Somió/Hospital de Cabueñes, Línea 14 Sotiello - Pol. Somonte - Tremañes - Infanzón, Línea 20 Nuevo Roces - Montevil - Somió (La Pipa), Línea 25 Tremañes - Infanzón";"Turismo, Alojamiento";"Gijón";"";"G8RV+53 Gijón";"Asturias";"985 34 00 25";"http://www.hsanmiguel.com/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Compromiso Biosphere, Hotel, 2 Estrellas, Gijón card. Tarjeta turística, Descuento Gijón, Alojamiento, Dog friendly"
"Hotel Playa Poniente";"hotel@hotelplayaponiente.es";33206;"<p>Hotel céntrico, familiar y funcional, con instalaciones renovadas. En segunda línea de playa y del <a href="https://www.gijon.es/es/directorio/puerto-deportivo-de-gijon" title="Puerto Deportivo">Puerto Deportivo</a>. Contamos con servicios concertados de parking y desayuno y ventajosas tarifas para los recursos turísticos próximos al hotel. Miembro de Peregrinos por el Norte.</p> ";"Marqués de San Esteban, 49. ";"Centro";"https://www.facebook.com/hotelplayaponiente/?fref=ts";"";"";"";"";"https://twitter.com/HPlayaPoniente";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/hotel-playa-poniente-gijon-habitacino%20-para-tres-presonas-con-cama-matrimonial-y-cama-de-noventa.jpg";"";"Lon: -5.669756213028, Lat: 43.541433600716";"Línea 1 El Cerillero - Hospital de Cabueñes, Línea 4 El Lauredal - Campus Universitario, Línea 6 El Musel - Pol. Porceyo/Porceyo, Línea 12 El Cerillero - Contrueces, Línea 16 Estación de Ferrocarril - Vega, Búho 1 - El Cerilleru - Plaza Humedal";"Turismo, Alojamiento";"Gijón";"";"G8RJ+H3 Gijón";"Asturias";"985 34 60 63";"http://www.hotelplayaponiente.es/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Hotel, 2 Estrellas, Alojamiento"
"Hotel La Polar";"info@lapolarhotel.com";33212;"<p>Próximo a la playa de Poniente y a la estación de RENFE. Habitaciones exteriores, completamente equipadas.</p> ";"José Manuel Palacio Álvarez, 20";"Oeste";"https://www.facebook.com/lapolarhotelgijonasturias/";"";"";"";"";"https://twitter.com/HOTEL_LAPOLAR";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/hotel%20LA%20POLAR%2024%20%281%29.jpg";"";"Lon: -5.6765883154031, Lat: 43.540241466431";"Línea 1 El Cerillero - Hospital de Cabueñes, Línea 4 El Lauredal - Campus Universitario, Línea 6 El Musel - Pol. Porceyo/Porceyo, Línea 12 El Cerillero - Contrueces, Línea 16 Estación de Ferrocarril - Vega, Búho 1 - El Cerilleru - Plaza Humedal";"Turismo, Alojamiento";"Gijón";"";"G8RF+39 Gijón";"Asturias";"984 29 64 03";"http://lapolarhotel.com/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Compromiso Biosphere, Gijón card. Tarjeta turística, Descuento Gijón, Alojamiento, Hotel, 2 Estrellas, Dog friendly, Gijón Convention Bureau"
"Hotel Castilla";"info@hotelcastillagijon.com";33206;"<p>Hotel urbano en el centro de Gijón/Xixón con instalaciones cuidadas y trato personalizado. Miembro de Peregrinos por el Norte.</p> ";"Corrida, 50";"Centro";"https://www.facebook.com/hotelcastillagijon/";"";"";"";"";"";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/H.%20CASTILLA-19.jpg";"";"Lon: -5.6634959371872, Lat: 43.539886428009";"Línea 1 El Cerillero - Hospital de Cabueñes, Línea 10 Pumarín - Somió/Hospital de Cabueñes, Línea 12 El Cerillero - Contrueces, Línea 15 Nuevos Roces - Hospital de Cabueñes, Línea 16 Estación de Ferrocarril - Vega, Línea 18 Nuevo Gijón - Hospital de Cabueñes";"Turismo, Alojamiento";"Gijón";"";"G8QP+XH Gijón";"Asturias";"985 34 62 00";"https://www.hotelcastillagijon.com/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Hotel, Alojamiento, 2 Estrellas"
"Hotel Quinta Duro";"info@hotelquintaduro.com";33394;"<p class="text-align-justify">Alojamiento tranquilo, distinguido y señorial a un paso del centro de Gijón y todos sus servicios. Dispone de un jardín de uso exclusivo para clientes con más de 20.000 m2 con espectacular arbolado.</p>  <p class="text-align-justify"><span class="label_drupal"><a class="file file--mime-application-pdf file--application-pdf" data-entity-type="file" data-entity-uuid="67505156-f75a-4b6d-9010-28de885381d0" href="https://www.gijon.es//sites/default/files/inline-files/TUR4all-hotel-quinta-duro-ES.PDF" target="_blank" title="Informe Accesibilidad Hotel Quinta Duro">DESCARGAR INFORME DE ACCESIBILIDAD TUR4ALL</a></span></p>  <div class="caja_azul text-align-center">  <img alt="Sidraturismo Asturias" class="" data-entity-type="file" data-entity-uuid="f28f31d1-c920-4e86-87ea-eaa375631b2e" height="35" id="" src="/sites/default/files/inline-images/Logo%20Sidraturismo%20Asturias%20transp.png" title="Sidraturismo Asturias" width="35" />Sidraturismo Asturias</div>  <p class="small"> </p> ";"Camino de las Quintas, 384.";"Rural";"https://www.facebook.com/hotelquintaduro";"";"";"";"";"";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/Quinta%20Duro02.jpg";"";"Lon: -5.6100287826844, Lat: 43.514137650775";"";"Turismo, Alojamiento";"Gijón";"";"G97Q+JX Periurbano - Rural, Gijón";"Asturias";"985 33 04 43";"http://www.hotelquintaduro.com/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Alojamiento, 3 Estrellas, Hotel Rural"
"Hotel Santa Rosa, Blue Hoteles";"hotelsantarosa@bluehoteles.es";33201;"<p>En pleno centro, su cuidado y vanguardista diseño, sabe conjugar la luz y el color a fin de crear espacios acogedores y confortables.</p>  <p><span class="label_drupal"><a class="file file--mime-application-pdf file--application-pdf" data-entity-type="file" data-entity-uuid="a4e488ad-c312-4218-a242-ade5deb64a38" filename="2024 Hotel Blue Sta Rosa.pdf" href="https://www.gijon.es//sites/default/files/inline-files/2024%20Hotel%20Blue%20Sta%20Rosa.pdf" target="_blank" title="Informe Accesibilidad Hotel Santa Rosa">DESCARGAR INFORME DE ACCESIBILIDAD TUR4ALL</a></span></p>  <p class="small"> </p> ";"Santa Rosa, 4";"Centro";"https://www.facebook.com/BLUEHOTELS/";"";"https://www.instagram.com/bluehoteles/";"";"";"https://twitter.com/Bluehoteles";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/Hab.107-18.JPG";"";"Lon: -5.6634798439331, Lat: 43.543331178376";"Línea 4 El Lauredal - Campus Universitario, Línea 6 El Musel - Pol. Porceyo/Porceyo";"Turismo, Alojamiento";"Gijón";"";"G8VP+8J Gijón";"Asturias";"985 09 19 19";"https://www.bluehoteles.es/santa-rosa/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Gijón accesible, Hotel, Alojamiento, 3 Estrellas, Gijón Convention Bureau"
"Hotel Marqués, Blue Hoteles";"hotelmarques@bluehoteles.es";33206;"<p>Edificio clásico completamente restaurado, en pleno centro, segunda línea del <a href="https://www.gijon.es/es/directorio/puerto-deportivo-de-gijon" title="Puerto Deportivo">Puerto Deportivo</a>, rodeado de la mejor oferta gastronómica, comercial y de ocio de la ciudad.</p> ";"Marqués de San Esteban, 11";"Centro";"https://www.facebook.com/BLUEHOTELS/";"";"https://www.instagram.com/bluehoteles/";"";"";"https://twitter.com/Bluehoteles";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/HotelMarques-11.JPG";"";"Lon: -5.6656899841614, Lat: 43.542938446918";"Línea 1 El Cerillero - Hospital de Cabueñes, Línea 4 El Lauredal - Campus Universitario, Línea 6 El Musel - Pol. Porceyo/Porceyo, Línea 12 El Cerillero - Contrueces, Línea 16 Estación de Ferrocarril - Vega";"Turismo, Alojamiento";"Gijón";"";"G8VM+5P Gijón";"Asturias";"985 09 09 29";"https://www.bluehoteles.es/marques-de-san-esteban/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Hotel, Alojamiento, 3 Estrellas, Gijón Convention Bureau"
"Hotel Zentral Gijón Rey Pelayo";"reservas@hotelzentralgijon.com";33203;"<p>Ideal para conocer la ciudad gracias a su excelente ubicación, a sus completas y confortables instalaciones y a la calidad de sus servicios. Habitaciones tipo <em>family</em>, <em>premium</em>, suites junior y senior.</p>  <p><span class="label_drupal"><a class="file file--mime-application-pdf file--application-pdf" data-entity-type="file" data-entity-uuid="e6e018dc-f297-4069-9186-90f9ec430211" href="https://www.gijon.es//sites/default/files/inline-files/TUR4all-tryp-gijon-rey-pelayo-PREDIF-ES.PDF" target="_blank" title="Informe Accesibilidad Hotel Tryp Rey Pelayo">DESCARGAR INFORME DE ACCESIBILIDAD TUR4ALL</a></span></p>  <p class="small"> </p> ";"Avenida Torcuato Fdez. Miranda, 26";"";"https://www.facebook.com/HotelesZentral/";"";"";"";"";"https://twitter.com/HotelesZentral";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/hab_premium.jpg";"";"Lon: -5.6436100395508, Lat: 43.536137176603";"Línea 1 El Cerillero - Hospital de Cabueñes, Línea 10 Pumarín - Somió/Hospital de Cabueñes";"Turismo, Alojamiento";"Gijón";"";"G9P4+CH Gijón";"Asturias";"985 19 98 00";"https://hotelzentralgijon.com/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Hotel, Gijón card. Tarjeta turística, Descuento Gijón, Alojamiento, Hotel, 4 Estrellas, Gijón Convention Bureau, Instalación con sala, Próximo a Centro de Convenciones"
"Hotel Silken Ciudad Gijón";"hotel.ciudadgijon@hoteles-silken.com";33207;"<p>Ideal para turismo vacacional y de ocio por su proximidad a la zona turística y equipado con la Business Center para atender al turista de negocios. También dispone de Wellness Center de uso gratuito.</p>  <p><span class="label_drupal"><a class="file file--mime-application-pdf file--application-pdf" data-entity-type="file" data-entity-uuid="7e3aa477-e74e-4bdb-b913-9f5b32d2c5b6" filename="2024 Hotel Silken_0.pdf" href="https://www.gijon.es//sites/default/files/inline-files/2024%20Hotel%20Silken_0.pdf" target="_blank" title="Informe Accesibilidad Hotel Silken Ciudad Gijón">DESCARGAR INFORME DE ACCESIBILIDAD TUR4ALL</a></span></p>  <p class="small"> </p> ";"Bohemia,1";"Centro";"https://www.facebook.com/hotelessilken/";"";"";"";"";"https://twitter.com/hotelessilken";"https://www.youtube.com/user/HoteleSilken";"";"";"https://www.gijon.es/sites/default/files/2024-06/Estandar%20DELUXE_TWIN__SILKEN%20CIUDAD%20GIJON_023_0.jpg";"";"Lon: -5.6749596985169, Lat: 43.537070500963";"Línea 16 Estación de Ferrocarril - Vega, Línea 18 Nuevo Gijón - Hospital de Cabueñes";"Turismo, Alojamiento";"Gijón";"";"G8PG+Q2 Gijón";"Asturias";"985 17 61 12";"https://www.hoteles-silken.com/es/hotel-ciudad-gijon/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Gijón accesible, Gijón card. Tarjeta turística, Descuento Gijón, Alojamiento, Hotel, 4 Estrellas, Gijón Convention Bureau, Instalación con sala, Compromiso Biosphere"
"Hotel OCA Palacio de la Llorea";"reservas.palaciodelallorea@ocahotels.es";33394;"<p>Situado a escasos 7 Km. de Gijón y de sus decenas de playas, en el corazón del<a href="https://www.gijon.es/es/directorio/campo-municipal-de-golf-la-llorea" title="Campo Municipal de Golf La Llorea"> campo de golf de La Llorea</a>, y muy bien comunicado con la autovía del Cantábrico. Hace gala de un antiguo palacete reformado, combinando arquitectura tradicional y diseño de vanguardia, creando un ambiente único.</p>  <p><a class="file file--mime-application-pdf file--application-pdf" data-entity-type="file" data-entity-uuid="48c2c282-8208-449d-b020-67f2f7b0911b" filename="2024 Hotel OCA.pdf" href="https://www.gijon.es//sites/default/files/inline-files/2024%20Hotel%20OCA.pdf" target="_blank" title="Informe Accesibilidad Hotel Palacio de la Llorea"><span class="label_drupal">DESCARGAR INFORME DE ACCESIBILIDAD TUR4ALL</span></a></p>  <p class="small"> </p> ";"Ctra Ribadesella-Canero, 6780. Campo de Golf de La Llorea. ";"Rural";"https://www.facebook.com/ocapalaciodelallorea/";"";"https://www.instagram.com/ocahotels/";"";"";"https://twitter.com/ocahotels";"";"";"";"https://www.gijon.es/sites/default/files/2019-05/Habitaci%C3%B3n%20standard.jpg";"";"Lon: -5.577895918686, Lat: 43.519047009775";"";"Turismo, Alojamiento";"Gijón";"";"GC9C+JQ Deva";"Asturias";"985 13 18 12";"https://ocahotels.com/hoteles/espana/asturias/gijon/oca-palacio-llorea/";"Spanish";"[{"pregunta":"","respuesta":""},{"pregunta":"","respuesta":""}]";"Gijón con Calidad, Gijón accesible, Gijón card. Tarjeta turística, Descuento Gijón, Alojamiento, Hotel, 4 Estrellas, Dog friendly, Gijón Convention Bureau, Instalación con sala, Hotel Boutique, Compromiso Biosphere"
